Trace,IPC,Loads,Stores,Load Misses,Store Misses
471,0.815716,9158732,5398867,6784220,3459190
472,0.772651,9142877,5368185,7143729,3665311
473,0.804946,9159641,5398666,6782750,3458896
474,0.826977,9154910,5391071,6744099,3430868
475,0.338661,8205039,4926051,6550569,3363079
476,0.796004,9274929,5486284,7772937,4146780
477,0.832977,9000607,5094829,8370721,4509916
478,0.773609,9160065,5384199,7162482,3674361
479,0.812683,9162725,5399460,6789550,3461877
480,0.765657,9362712,5566182,7506850,3885062
481,0.776892,9330260,5535219,7552710,3936628
482,0.832729,8996564,5088752,8375308,4511056
483,0.917132,9185195,3833193,7522198,2308878
484,0.835679,9001919,5096606,8372550,4512578
485,0.804792,9273457,5483132,7768327,4140775
486,0.738154,10297453,4768774,7558752,2228556
487,0.769593,9362499,5566781,7486007,3869313
488,0.760992,9390957,5563006,7421879,3832555
489,0.931378,9202453,3847038,7482311,2260683
490,0.338366,8188718,4917533,6538376,3357462
491,0.812172,9165715,5403734,6799524,3471175
492,0.79968,9273561,5486208,7777763,4153510
493,0.788927,9367230,5568615,7510876,3885711
494,0.794378,9374869,5576956,7490941,3866859
495,0.888063,9273074,4016794,7435261,2331545
496,0.799717,9166408,5402683,6797297,3467070
497,0.833662,8996384,5089020,8376407,4512544
498,0.813323,9274329,5484026,7771727,4144206
499,0.930573,9189441,3835110,7476697,2255575
500,0.783514,9358359,5568909,7490300,3876495
501,1.09562,9681736,5207323,7273351,2931657
502,0.757641,9341122,5518077,7479539,3909471
503,0.817293,9156509,5393246,6756694,3438811
504,0.872655,9305492,3992941,7540805,2358535
505,0.819837,9274562,5485737,7776732,4151130
506,0.914222,9207216,3876481,7503797,2314655
507,1.10803,9693618,5210207,7264036,2913490
508,0.791132,9359310,5564109,7482271,3867010
509,0.749469,9345768,5331060,4733746,1009381
510,0.834407,9001036,5096230,8371399,4511784
511,0.820418,9165784,5400556,6786811,3460058
512,0.777702,9159446,5382385,7196541,3704723
513,0.901768,9076114,5225528,5726657,2895623
514,0.783554,9157901,5379988,7146855,3660989
515,0.803012,9174910,5411013,6824415,3487808
516,0.816068,9275738,5484120,7765661,4136226
517,0.762668,9381537,5553184,7409523,3832967
518,0.771751,9143097,5366512,7157117,3677259
519,0.809193,9167263,5404180,6761625,3437718
520,1.08746,9678803,5205302,7261181,2923936
521,0.806054,9168453,5404511,6797053,3468548
522,0.776288,9146448,5369412,7177351,3692807
523,0.803506,9273645,5480047,7767529,4136047
524,0.751226,9761989,5657066,8246743,4348325
525,0.760512,9384621,5552891,7457049,3868383
526,0.888311,9257380,3998872,7442049,2324194
527,0.915305,8489757,3367380,6937233,1990757
528,1.09627,9680708,5203922,7256559,2915384
529,0.888273,9780513,5671874,8250087,4351618
530,0.741696,9334755,5504438,7499223,3920293
531,0.777373,9143893,5369343,7175846,3692768
532,0.806775,9272538,5482580,7774887,4147592
533,0.760911,9393867,5573901,7338348,3771075
534,0.773413,9361723,5565619,7454599,3840117
535,0.767516,9409026,5581717,7363782,3781867
536,0.80396,9272025,5480225,7770042,4140569
537,0.868497,9274370,3965238,7501691,2321701
538,1.09364,9682713,5205766,7265615,2923602
539,0.752221,9364193,5540818,7407843,3837311
540,0.852083,9238504,3948714,7468372,2309578
541,0.755324,9402170,5576463,7419824,3831957
542,0.775617,9357425,5562876,7494649,3875982
543,0.812191,9274255,5486791,7777586,4153120
544,0.8176,9275424,5483301,7766109,4136348
545,0.767565,9353814,5523415,7524441,3933946
546,0.782537,9362290,5565452,7499641,3880113
547,0.756874,9331303,5502483,7535666,3955926
548,0.765183,9145622,5370096,7177403,3691688
549,0.901708,9777733,5671466,8246667,4350303
550,1.10822,9693342,5209717,7266706,2915864
551,0.675071,10543085,4944676,7581566,2183060
552,0.337147,8205852,4928030,6542525,3356612
553,0.783144,9147486,5374731,7127577,3650630
554,0.771895,9151016,5372712,7190604,3700850
555,0.834073,9001577,5097304,8368832,4510251
556,0.816009,9160403,5398001,6779070,3456638
558,0.76945,9342610,5514135,7517098,3935245
559,0.779927,9146533,5368646,7165832,3681367
560,0.808621,9161600,5396897,6768858,3448019
561,0.812493,9274961,5486072,7779955,4154416
562,0.336829,8192103,4919702,6536990,3355961
563,0.779813,9141358,5367395,7167631,3687066
564,0.311578,8459028,4930639,6211361,2948878
565,0.814181,9154987,5395829,6771156,3451393
566,0.940091,9236835,3875781,7530285,2303906
567,0.767177,9143792,5368067,7169787,3684960
568,0.802427,9173468,5406825,6815535,3481406
569,0.773904,9349904,5557040,7460019,3853368
570,0.831976,8995931,5089079,8378307,4514911
571,1.08989,8419248,5289824,7480041,4476563
572,0.814607,9271152,5481174,7771169,4143891
573,0.901403,9780553,5672685,8250156,4352753
574,0.812273,9196358,5412507,6792234,3452605
576,0.808396,9275678,5484412,7771234,4142710
577,0.753676,9404460,5575305,7407367,3816664
578,0.776399,9359178,5567135,7486904,3874727
579,0.805871,9272778,5484479,7776080,4150513
580,0.775077,9363894,5569082,7515648,3892420
581,0.895312,9771081,5666321,8239507,4345969
582,0.884194,9274241,4013413,7456415,2345529
583,0.855958,8504927,5042803,8005903,4609522
584,0.818336,9158124,5395235,6770421,3449056
585,1.10186,9690605,5207976,7263131,2914882
586,0.773924,9363593,5571711,7505699,3888961
587,1.09596,9684257,5207352,7265581,2924026
588,0.764474,9373158,5576777,7487169,3867128
589,0.750852,9369470,5538825,7411262,3832091
590,0.811808,9167827,5402942,6793868,3464963
591,0.790727,9377292,5572403,7480312,3851963
592,0.810068,9273733,5482908,7760477,4131796
593,1.05006,8420995,5276025,7366996,4347962
594,0.82102,9156439,5390111,6783354,3454484
595,0.78379,9167116,5388157,7153104,3667186
596,0.931835,9221986,3849476,7530479,2292118
597,0.811662,9275668,5483772,7769283,4139965
598,0.918682,9204934,3892164,7488162,2314739
599,0.770331,9153441,5376777,7156973,3671987
600,0.771905,9362211,5565602,7481180,3865215
601,0.798673,9167315,5402880,6797935,3469516
602,0.800701,9374396,4170434,6540929,1572776
603,0.769786,9155185,5377840,7146561,3661912
604,0.81135,9166953,5403101,6800248,3469677
605,0.824383,9271613,5485690,7773116,4149873
606,0.9375,9197229,3853457,7481006,2268273
607,0.751555,9407628,5585418,7351279,3773792
608,0.77105,9357624,5565112,7483191,3871421
609,0.923878,9194585,3857772,7503335,2306527
610,0.772178,9343300,5517262,7505864,3929393
611,0.80485,9273685,5480902,7765853,4135443
612,0.226171,10455879,6344288,4301401,487758
613,0.815262,9171680,5405645,6791876,3462309
614,0.749919,9423052,5592549,7409938,3812943
615,0.777523,9152796,5374527,7196034,3705255
616,1.09744,9688791,5208627,7264299,2920084
617,0.868633,9392450,4297465,7104564,2296632
619,0.756682,9412794,5584889,7408789,3821414
