Trace,IPC,Loads,Stores,Load Misses,Store Misses
291,0.808314,9162057,5397099,6780556,3455051
292,0.77863,9138902,5365134,7161904,3686909
293,0.933295,9190562,3836634,7475285,2255465
294,0.813995,9160259,5396224,6778492,3455163
295,0.754058,9418112,5589954,7387748,3799495
296,0.773858,9143916,5368282,7171943,3687095
297,1.08823,8418999,5289548,7479303,4475855
298,0.926463,9241029,3888585,7512572,2298100
299,0.812025,9170280,5404530,6796777,3465933
300,0.757383,9750001,5649253,8241610,4347439
301,0.840757,9331019,5514585,7102685,3586981
303,0.799495,9274656,5484655,7766963,4139695
304,0.770932,9383803,5556582,7359869,3790512
305,0.773982,9147900,5370037,7171708,3686922
306,0.805406,9272171,5479418,7765304,4134986
307,0.758955,9140397,5365081,7155099,3677497
308,0.859969,8504927,5042803,8005903,4609522
309,0.904623,9781736,5672772,8256301,4355585
310,0.853706,9779763,5655364,8249173,4335141
311,1.11482,9695217,5208867,7269880,2918108
312,0.765658,9326849,5498954,7545308,3966087
313,0.768678,9358006,5563435,7486119,3867244
314,0.338691,8187092,4916040,6537291,3358513
315,0.835304,9002343,5095391,8368702,4507217
316,0.816034,9274887,5483702,7763516,4135462
317,0.770733,9366990,5569701,7462809,3849603
318,0.772288,9390144,5561921,7417990,3833261
319,0.779027,9390528,5575426,7486958,3855176
